route_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec,ObjectId
Blue,70050,Wood Island,70052,Orient Heights,weekday,offpeak,136.22,50.69,105,120,227.55,346
Blue,70051,Orient Heights,70049,Wood Island,weekday,offpeak,111.15,14.78,101,108,134,347
Blue,70051,Orient Heights,70049,Wood Island,saturday,offpeak,106.19,8.3,100,105,115,348
Blue,70051,Orient Heights,70049,Wood Island,weekday,peak,110.63,16.71,101,107,133,349
Blue,70051,Orient Heights,70049,Wood Island,sunday,offpeak,106.01,9.21,100,104,114,350
Red,70080,South Station,70078,Downtown Crossing,saturday,offpeak,21.97,13.39,19,20,28,351
Red,70080,South Station,70078,Downtown Crossing,sunday,offpeak,21.51,13.39,19,20,25,352
Red,70080,South Station,70078,Downtown Crossing,weekday,offpeak,24.02,21.85,19,20,49,353
Red,70080,South Station,70078,Downtown Crossing,weekday,peak,31.61,34.47,18,20,104,354
Red,70081,Broadway,70083,Andrew,weekday,peak,108.38,59.71,23,116,174,355
Red,70081,Broadway,70083,Andrew,weekday,offpeak,104.43,56.44,23,111,164,356
Red,70081,Broadway,70083,Andrew,sunday,offpeak,110.14,38.76,24,110,169,357
Red,70081,Broadway,70083,Andrew,saturday,offpeak,102.51,35.71,24,109,132.35,358
Red,70082,Broadway,70080,South Station,weekday,peak,109.23,24.96,92,103,152,359
Red,70082,Broadway,70080,South Station,saturday,offpeak,101.81,8.54,92,102,110,360
Red,70082,Broadway,70080,South Station,weekday,offpeak,103.98,33.72,91,101,122,361
Red,70082,Broadway,70080,South Station,sunday,offpeak,104.08,17.43,95,102,115.55,362
Red,70083,Andrew,70085,JFK/UMass,weekday,peak,106.52,18.44,96,101,144,363
Red,70083,Andrew,70085,JFK/UMass,weekday,offpeak,109.47,28.59,96,101,151,364
Red,70083,Andrew,70085,JFK/UMass,saturday,offpeak,105.81,17.86,96,101,142,365
Red,70083,Andrew,70085,JFK/UMass,sunday,offpeak,105.15,17.54,95,101,135,366
Red,70083,Andrew,70095,JFK/UMass,saturday,offpeak,109.59,21.36,98,103,146.55,367
Red,70083,Andrew,70095,JFK/UMass,weekday,peak,113.8,33.2,97.75,103,160,368
Red,70083,Andrew,70095,JFK/UMass,sunday,offpeak,109.43,20.13,97.2,103,144,369
Red,70083,Andrew,70095,JFK/UMass,weekday,offpeak,112.91,27.77,97,103,157,370
Red,70084,Andrew,70082,Broadway,weekday,offpeak,121.05,46.9,102,113,155,371
Red,70084,Andrew,70082,Broadway,weekday,peak,127.1,36.82,105,119,172,372
Red,70084,Andrew,70082,Broadway,sunday,offpeak,157.09,105.97,101,112,409,373
Red,70084,Andrew,70082,Broadway,saturday,offpeak,160.08,115.07,101,112,427.25,374
Red,70085,JFK/UMass,70087,Savin Hill,saturday,offpeak,71.22,17.31,63,70,94.75,375
Red,70085,JFK/UMass,70087,Savin Hill,weekday,peak,76.07,17.38,64,72,104,376
Red,70085,JFK/UMass,70087,Savin Hill,weekday,offpeak,74.79,18.81,64,71,103,377
Red,70085,JFK/UMass,70087,Savin Hill,sunday,offpeak,75.77,35.42,63,71,103,378
Red,70086,JFK/UMass,70084,Andrew,weekday,peak,121.61,49.19,93,101,221,379
Red,70086,JFK/UMass,70084,Andrew,sunday,offpeak,112.11,39.84,93,101,182.6,380
Red,70086,JFK/UMass,70084,Andrew,weekday,offpeak,117.52,51.59,93,101,210,381
Red,70086,JFK/UMass,70084,Andrew,saturday,offpeak,112.06,69.17,93,100,169,382
Red,70087,Savin Hill,70089,Fields Corner,sunday,offpeak,114.44,26.62,112,118,131,383
Red,70087,Savin Hill,70089,Fields Corner,weekday,offpeak,120.95,24.97,114,119,148,384
Red,70087,Savin Hill,70089,Fields Corner,weekday,peak,121.36,17.71,114,119,146,385
Red,70087,Savin Hill,70089,Fields Corner,saturday,offpeak,117.08,26.56,113,118,128,386
Red,70088,Savin Hill,70086,JFK/UMass,weekday,offpeak,73.78,18.36,64,68,101,387
Red,70088,Savin Hill,70086,JFK/UMass,sunday,offpeak,80.42,66.41,64,68,105.1,388
Red,70088,Savin Hill,70086,JFK/UMass,weekday,peak,73.72,20.01,64,68,102,389
Red,70088,Savin Hill,70086,JFK/UMass,saturday,offpeak,72.5,14.96,64,67,96,390
Red,70089,Fields Corner,70091,Shawmut,weekday,offpeak,54.45,16.74,46,50,72,391
Red,70089,Fields Corner,70091,Shawmut,weekday,peak,53.47,10.19,45,50,72,392
Red,70089,Fields Corner,70091,Shawmut,sunday,offpeak,54.63,15.12,47,50,72,393
Red,70089,Fields Corner,70091,Shawmut,saturday,offpeak,53.78,19.61,47,50,72,394
Red,70090,Fields Corner,70088,Savin Hill,saturday,offpeak,150.09,31.4,129,146,175.15,395
Red,70090,Fields Corner,70088,Savin Hill,weekday,peak,167.77,57.43,136,153,262,396
Red,70090,Fields Corner,70088,Savin Hill,weekday,offpeak,157.86,38.35,133,150,211,397
Red,70090,Fields Corner,70088,Savin Hill,sunday,offpeak,147.71,26.27,130,145,168,398
Red,70091,Shawmut,70093,Ashmont,sunday,offpeak,103.28,25.13,77,105,113.5,399
Red,70091,Shawmut,70093,Ashmont,saturday,offpeak,103.46,19.74,77,106,113,400
Green-B,70140,Saint Paul Street,70142,Boston University West,weekday,peak,25.3,8.57,18,24,36,401
Green-B,70140,Saint Paul Street,70142,Boston University West,weekday,offpeak,24.7,6.69,18,24,32.2,402
Green-B,70140,Saint Paul Street,70142,Boston University West,saturday,offpeak,23.88,6.02,18,24,30,403
Green-B,70140,Saint Paul Street,70142,Boston University West,sunday,offpeak,23.38,6.17,18,24,30,404
Green-B,70141,Saint Paul Street,70139,Pleasant Street,sunday,offpeak,33.55,16.27,18,24,66,405
Green-B,70141,Saint Paul Street,70139,Pleasant Street,saturday,offpeak,33.84,21.48,18,24,66,406
Green-B,70141,Saint Paul Street,70139,Pleasant Street,weekday,peak,32.88,20.35,18,24,66,407
Green-B,70141,Saint Paul Street,70139,Pleasant Street,weekday,offpeak,33.88,22.52,18,25,68,408
Green-B,70142,Boston University West,70144,Boston University Central,saturday,offpeak,93.39,30.86,49.75,96,147.75,409
Green-B,70142,Boston University West,70144,Boston University Central,weekday,offpeak,95.65,34.12,54,96,150,410
Green-B,70142,Boston University West,70144,Boston University Central,sunday,offpeak,88.27,31.47,48,85,144,411
Green-B,70142,Boston University West,70144,Boston University Central,weekday,peak,103.38,35.66,54,103,157,412
Green-B,70143,Boston University West,70141,Saint Paul Street,weekday,peak,53.6,26.7,18,54,96,413
Green-B,70143,Boston University West,70141,Saint Paul Street,sunday,offpeak,49.25,23.8,18,48,90,414
Green-B,70143,Boston University West,70141,Saint Paul Street,saturday,offpeak,49.32,24.61,18,48,90,415
Green-B,70143,Boston University West,70141,Saint Paul Street,weekday,offpeak,51.67,65.66,18,48,90,416
Green-D,70169,Newton Highlands,70167,Eliot,weekday,peak,92.04,29.72,72,84,133,417
Green-B,70144,Boston University Central,70146,Boston University East,sunday,offpeak,34.25,16.41,18,30,66,418
Green-B,70144,Boston University Central,70146,Boston University East,saturday,offpeak,36,17.3,18,30,66,419
Green-E,70155,Copley,70239,Prudential,sunday,offpeak,84.16,20.51,67,78.5,118,420
Green-D,70169,Newton Highlands,70167,Eliot,weekday,offpeak,98.05,194.86,72,90,138,421
Green-B,70144,Boston University Central,70146,Boston University East,weekday,offpeak,36.62,17.19,21,30,66,422
Green-E,70155,Copley,70239,Prudential,weekday,peak,97.91,30.82,70,87,149,423
Green-D,70170,Newton Centre,70172,Chestnut Hill,saturday,offpeak,171.07,76.74,144,162,191.75,424
Green-B,70144,Boston University Central,70146,Boston University East,weekday,peak,36.47,17.49,19,30,67,425
Red,70105,Braintree,70104,Quincy Adams,weekday,peak,292.68,80.54,208,303.5,386,426
Green-E,70155,Copley,70239,Prudential,saturday,offpeak,86.5,21.94,68,79.5,127.45,427
Green-D,70170,Newton Centre,70172,Chestnut Hill,weekday,offpeak,170.67,55.22,145,162,210,428
Green-B,70145,Boston University Central,70143,Boston University West,weekday,peak,102.37,38.95,54,102,174,429
Red,70105,Braintree,70104,Quincy Adams,weekday,offpeak,291.69,72.47,209,306,387,430
Red,70105,Braintree,70104,Quincy Adams,saturday,offpeak,289.61,69.28,211,296,383,431
Red,70105,Braintree,70104,Quincy Adams,sunday,offpeak,284.23,69.98,210,285,390,432
Green-B,70110,South Street,70112,Chestnut Hill Avenue,weekday,peak,103.24,44.41,53,96,168,433
Green-B,70110,South Street,70112,Chestnut Hill Avenue,weekday,offpeak,103.36,43.04,49,97,168,434
Green-B,70110,South Street,70112,Chestnut Hill Avenue,saturday,offpeak,103.37,44.03,48.8,97,168,435
Green-B,70110,South Street,70112,Chestnut Hill Avenue,sunday,offpeak,101.52,40.48,48,97,168,436
Green-B,70111,South Street,70107,Boston College,weekday,offpeak,193.45,111.16,109,174,311.8,437
Green-B,70111,South Street,70107,Boston College,sunday,offpeak,210.08,166.41,104,169,681,438
Green-B,70111,South Street,70107,Boston College,weekday,peak,191.32,105.4,108,175,282,439
Green-B,70111,South Street,70107,Boston College,saturday,offpeak,201.09,144.59,103,168,412.3,440
Green-B,70112,Chestnut Hill Avenue,70114,Chiswick Road,sunday,offpeak,32.85,9.84,24,30,54,441
Green-B,70112,Chestnut Hill Avenue,70114,Chiswick Road,saturday,offpeak,33.34,9.57,24,30,49,442
Green-B,70112,Chestnut Hill Avenue,70114,Chiswick Road,weekday,peak,35.6,11.24,24,36,54,443
Green-B,70112,Chestnut Hill Avenue,70114,Chiswick Road,weekday,offpeak,34.12,11.55,24,30,49,444
Green-B,70113,Chestnut Hill Avenue,70111,South Street,saturday,offpeak,49.74,15.5,42,48,60,445
Green-B,70113,Chestnut Hill Avenue,70111,South Street,sunday,offpeak,50.1,41.09,39.85,48,60,446
Green-B,70113,Chestnut Hill Avenue,70111,South Street,weekday,peak,53.3,16.18,42,54,66,447
Green-B,70113,Chestnut Hill Avenue,70111,South Street,weekday,offpeak,53.63,68.34,42,49,66,448
Green-B,70114,Chiswick Road,70116,Sutherland Road,weekday,peak,41.06,12.44,30,36,66,449
Green-B,70114,Chiswick Road,70116,Sutherland Road,sunday,offpeak,38.93,11.32,30,36,60,450
Green-B,70114,Chiswick Road,70116,Sutherland Road,weekday,offpeak,39.86,18.27,30,36,54,451
Green-B,70114,Chiswick Road,70116,Sutherland Road,saturday,offpeak,38.95,10.5,30,36,54,452
Green-B,70115,Chiswick Road,70113,Chestnut Hill Avenue,sunday,offpeak,31.73,14.98,23,30,60,453
Green-B,70115,Chiswick Road,70113,Chestnut Hill Avenue,saturday,offpeak,33.82,20.22,24,30,72,454
Green-B,70115,Chiswick Road,70113,Chestnut Hill Avenue,weekday,peak,35.11,20.11,24,30,61,455
Green-B,70115,Chiswick Road,70113,Chestnut Hill Avenue,weekday,offpeak,36.39,23.96,24,30,84,456
