reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2017,2016/11/30 05:00:00+00,Revenue,Operating Revenues,59093138.8,60939616.64,303097991.9,306619663.5,143
2017,2016/10/31 04:00:00+00,Expenses,Debt Service,36937681.58,38245465,142873844,152051151,144
2017,2016/10/31 04:00:00+00,Revenue,Non-Operating Revenues,100674362.5,100636811.3,402631402.5,403406248.4,145
2017,2016/10/31 04:00:00+00,Expenses,Operating Expenses,124280867.1,127836203.5,516241972.9,517050084.1,146
2017,2016/10/31 04:00:00+00,Revenue,Operating Revenues,61510807.2,63357353.54,244004853.1,245680046.9,147
2017,2016/09/30 04:00:00+00,Expenses,Debt Service,32408717.22,38146991,105936162.4,113165265,148
2017,2016/09/30 04:00:00+00,Revenue,Non-Operating Revenues,95535321,101439812.3,301957040,302769437,149
2017,2016/09/30 04:00:00+00,Expenses,Operating Expenses,130818443.2,130801304.9,391961105.9,389213880.7,150
2017,2016/09/30 04:00:00+00,Revenue,Operating Revenues,61851116.09,61558926.79,182494045.9,182322693.4,151
2017,2016/08/31 04:00:00+00,Expenses,Debt Service,36877258.87,36986285,73527445.19,75018274,152
2017,2016/08/31 04:00:00+00,Revenue,Non-Operating Revenues,104336139.9,100664812.3,206421719,201329624.6,153
2017,2016/08/31 04:00:00+00,Expenses,Operating Expenses,133154121.4,129255978,261142662.6,258412575.8,154
2017,2016/08/31 04:00:00+00,Revenue,Operating Revenues,60585227.56,60309738.23,120642929.9,120763766.6,155
2017,2016/07/31 04:00:00+00,Expenses,Debt Service,36650186.32,38031989,36650186.32,38031989,156
2017,2016/07/31 04:00:00+00,Revenue,Non-Operating Revenues,102085579.1,100664812.3,102085579.1,100664812.3,157
2017,2016/07/31 04:00:00+00,Expenses,Operating Expenses,127988541.2,129156597.8,127988541.2,129156597.8,158
2017,2016/07/31 04:00:00+00,Revenue,Operating Revenues,60057702.26,60454028.35,60057702.26,60454028.35,159
2016,2016/06/30 04:00:00+00,Expenses,Debt Service,36876982.86,36929747,443702322.4,452109168,160
2016,2016/06/30 04:00:00+00,Revenue,Non-Operating Revenues,134510120.8,148114832.7,1183653974,1183899858,161
2016,2016/06/30 04:00:00+00,Expenses,Operating Expenses,143933746.2,133070372.9,1504341546,1568855291,162
2016,2016/06/30 04:00:00+00,Revenue,Operating Revenues,62025828.96,55137016.69,678461887.1,667507848.5,163
2016,2016/05/31 04:00:00+00,Expenses,Debt Service,36781780.47,36929748,406825339.6,415179421,164
2016,2016/05/31 04:00:00+00,Revenue,Non-Operating Revenues,89795476.32,79527319.45,1049143853,1035785025,165
2016,2016/05/31 04:00:00+00,Expenses,Operating Expenses,126927829.5,132801854.7,1360407800,1435784918,166
2016,2016/05/31 04:00:00+00,Revenue,Operating Revenues,57024350.14,57229812.76,616436058,612370831.7,167
2016,2016/04/30 04:00:00+00,Expenses,Debt Service,36782443.11,36929746,370043559,378249673,168
2016,2016/04/30 04:00:00+00,Revenue,Non-Operating Revenues,117807066.9,111497643.6,959348376.4,956257705.7,169
2016,2016/04/30 04:00:00+00,Expenses,Operating Expenses,125894381.7,128080184.9,1233479970,1302983063,170
2016,2016/04/30 04:00:00+00,Revenue,Operating Revenues,55371997.17,57087807.18,559411707.9,555141019,171
2016,2016/03/31 04:00:00+00,Expenses,Debt Service,33957538.9,36929747,333261116,341319927,172
2016,2016/03/31 04:00:00+00,Revenue,Non-Operating Revenues,81993029.26,85306254.71,841541309.5,844760062,173
2019,2018/08/31 04:00:00+00,Expenses,Operating Expenses,137053556.9,133700451.9,267570466.1,267302226.5,174
2016,2016/03/31 04:00:00+00,Expenses,Operating Expenses,124999764.6,132171623.9,1107585588,1174902878,175
2016,2016/03/31 04:00:00+00,Revenue,Operating Revenues,56522304.7,55454799.09,504039710.7,498053211.8,176
2016,2016/02/29 05:00:00+00,Expenses,Debt Service,39446897.48,38206626,299303577.1,304390180,177
2019,2018/08/31 04:00:00+00,Revenue,Operating Revenues,62477082.12,65639986.92,125750587.3,132466397.5,178
2016,2016/02/29 05:00:00+00,Revenue,Non-Operating Revenues,104775767.8,92165841.31,759548280.2,759453807.4,179
2019,2018/07/31 04:00:00+00,Expenses,Debt Service,42371931.22,41071752.5,42371931.22,41071752.5,180
2016,2016/02/29 05:00:00+00,Expenses,Operating Expenses,124148673.5,126365026.4,982585823.7,1042731254,181
2019,2018/07/31 04:00:00+00,Revenue,Non-Operating Revenues,106685887.4,102341196.9,106685887.4,102341196.9,182
2016,2016/02/29 05:00:00+00,Revenue,Operating Revenues,50443785.78,47177268.58,447517406.1,442598412.8,183
2019,2018/07/31 04:00:00+00,Expenses,Operating Expenses,130516909.2,133601774.6,130516909.2,133601774.6,184
2016,2016/01/31 05:00:00+00,Expenses,Debt Service,35234357.94,38206626,259856679.6,266183554,185
2019,2018/07/31 04:00:00+00,Revenue,Operating Revenues,63273505.24,66826410.57,63273505.24,66826410.57,186
2016,2016/01/31 05:00:00+00,Revenue,Non-Operating Revenues,120371673.6,117592329.3,654772512.5,667287966.1,187
2018,2018/06/30 04:00:00+00,Expenses,Debt Service,33439524.08,37622483.13,472008770.8,451390469.2,188
